borough_code,name,straight_or_heterosexual,lgbtq,total,percentage
E09000001,City of London,6348,826,7174,11.51379983
E09000002,Barking and Dagenham,143275,3690,146965,2.510801892
E09000003,Barnet,269986,8633,278619,3.098496513
E09000004,Bexley,178051,4136,182187,2.27019491
E09000005,Brent,234151,8804,242955,3.623716326
E09000006,Bromley,238515,7233,245748,2.943258948
E09000007,Camden,146868,12348,159216,7.75550196
E09000008,Croydon,272523,9532,282055,3.379482725
E09000009,Ealing,254948,9857,264805,3.722361738
E09000010,Enfield,226705,5619,232324,2.418605052
E09000011,Greenwich,199766,10307,210073,4.906389684
E09000012,Hackney,166695,16389,183084,8.951628761
E09000013,Hammersmith and Fulham,131392,8220,139612,5.887746039
E09000014,Haringey,180100,12167,192267,6.328179043
E09000015,Harrow,182702,4239,186941,2.267560353
E09000016,Havering,191007,4092,195099,2.097396706
E09000017,Hillingdon,215049,5378,220427,2.439810005
E09000018,Hounslow,199334,6888,206222,3.340089806
E09000019,Islington,151195,14712,165907,8.867618606
E09000020,Kensington and Chelsea,104227,5341,109568,4.874598423
E09000021,Kingston upon Thames,119304,4642,123946,3.745179352
E09000022,Lambeth,222348,22198,244546,9.077228824
E09000023,Lewisham,203913,14875,218788,6.798818948
E09000024,Merton,151063,5788,156851,3.690126298
E09000025,Newham,235493,11086,246579,4.495922199
E09000026,Redbridge,213103,5396,218499,2.46957652
E09000027,Richmond upon Thames,138752,5237,143989,3.637083388
E09000028,Southwark,211847,20697,232544,8.900251135
E09000029,Sutton,149012,3967,152979,2.593166382
E09000030,Tower Hamlets,210070,18127,228197,7.943575069
E09000031,Waltham Forest,191049,10046,201095,4.995648823
E09000032,Wandsworth,236553,14184,250737,5.65692339
E09000033,Westminster,147855,9727,157582,6.172659314

